command,value,velocity,time,duration,meaning
144,60,56,6651,,Note on
144,60,0,8936,2285,Note off
144,64,60,10030,1094,Note on
144,64,0,10593,563,Note off
144,62,59,10797,204,Note on
160,62,22,15337,4540,Polyphonic Aftertouch
144,62,0,15362,25,Note off
144,72,22,16956,1594,Note on
160,72,24,18453,1497,Polyphonic Aftertouch
144,72,0,18498,45,Note off
144,84,86,19290,792,Note on
144,83,85,19931,641,Note on
144,84,0,19974,43,Note off
144,83,0,22610,2636,Note off
176,64,7,25997,3387,Damper On
176,64,16,26001,4,Damper On
176,64,35,26005,4,Damper On
176,64,56,26009,4,Damper On
176,64,57,26013,4,Damper On
176,64,58,26017,4,Damper On
176,64,59,26021,4,Damper On
176,64,60,26025,4,Damper On
176,64,63,26029,4,Damper On
176,64,66,26033,4,Damper On
176,64,68,26037,4,Damper On
176,64,71,26041,4,Damper On
176,64,73,26045,4,Damper On
176,64,77,26049,4,Damper On
176,64,127,26053,4,Damper On
176,64,74,26425,372,Damper On
176,64,70,26429,4,Damper On
176,64,66,26433,4,Damper On
176,64,62,26437,4,Damper On
176,64,60,26441,4,Damper On
176,64,59,26445,4,Damper On
176,64,58,26449,4,Damper On
176,64,57,26457,8,Damper On
176,64,56,26493,36,Damper On
176,64,41,26505,12,Damper On
176,64,29,26509,4,Damper On
176,64,20,26513,4,Damper On
176,64,12,26517,4,Damper On
176,64,6,26521,4,Damper On
176,64,0,26525,4,Damper Off
176,64,4,29021,2496,Damper On
176,64,7,29033,12,Damper On
176,64,12,29053,20,Damper On
176,64,16,29073,20,Damper On
176,64,24,29089,16,Damper On
176,64,35,29101,12,Damper On
176,64,50,29113,12,Damper On
176,64,56,29141,28,Damper On
176,64,57,29217,76,Damper On
176,64,58,29241,24,Damper On
176,64,59,29265,24,Damper On
176,64,60,29277,12,Damper On
176,64,61,29317,40,Damper On
176,64,62,29325,8,Damper On
176,64,64,29333,8,Damper On
176,64,65,29345,12,Damper On
176,64,66,29353,8,Damper On
176,64,68,29365,12,Damper On
176,64,69,29373,8,Damper On
176,64,70,29381,8,Damper On
176,64,71,29385,4,Damper On
176,64,72,29393,8,Damper On
176,64,74,29401,8,Damper On
176,64,76,29409,8,Damper On
176,64,78,29417,8,Damper On
176,64,127,29429,12,Damper On
176,64,79,30853,1424,Damper On
176,64,77,30861,8,Damper On
176,64,74,30869,8,Damper On
176,64,72,30877,8,Damper On
176,64,71,30885,8,Damper On
176,64,70,30893,8,Damper On
176,64,68,30905,12,Damper On
176,64,67,31173,268,Damper On
176,64,66,31205,32,Damper On
176,64,64,31221,16,Damper On
176,64,63,31233,12,Damper On
176,64,61,31241,8,Damper On
176,64,60,31249,8,Damper On
176,64,59,31305,56,Damper On
176,64,58,31333,28,Damper On
176,64,57,31357,24,Damper On
176,64,56,31457,100,Damper On
176,64,41,31489,32,Damper On
176,64,29,31505,16,Damper On
176,64,20,31561,56,Damper On
176,64,14,31589,28,Damper On
176,64,9,31609,20,Damper On
176,64,6,31629,20,Damper On
176,64,2,31729,100,Damper On
176,64,0,31749,20,Damper Off
176,66,127,33573,1824,Sostenuto On
176,66,0,34220,647,Sostenuto Off
176,67,127,35940,1720,Una Corda On
176,67,0,39593,3653,Una Corda Off
176,67,127,39808,215,Una Corda On
176,67,0,39876,68,Una Corda Off
